Date,Gross,Take Home,Hours,PaySheet,Add On Amount ,Stop Count,Add On Avg,Commission Earned,Effetive Hourly Rate,Date Processed ðŸ“…,Debug Log,,,,,,,,
05/23/2025,$754.00,$623.04,52,,,,,,,05/23/2025,,,,,,,,,
05/30/2025,$783.25,$645.54,53.5,,,,,,,05/30/2025,,,Total Gross,Total Take Home,Total Hours,,,,
06/06/2025,$656.50,$548.70,47,https://drive.google.com/file/d/1SaTzoLKp0nNz_avpNE1o_1D-QVI_bDy7/view?usp=drivesdk,$716.94,13,$55.15,$0.00,$13.00,06/06/2025,,,"$23,916.21","$18,922.65",1386.75,,,,
06/13/2025,$513.00,$439.30,36.5,https://drive.google.com/file/d/1qvXpOYMMNDt-7w2_EGzdBq4vjXSfDdVl/view?usp=drivesdk,"$1,474.03",11,$134.00,$0.00,$13.00,06/13/2025,,,Avg Gross,Avg Take Home,Avg Hours,,,,
06/20/2025,$719.88,$596.63,50.25,https://drive.google.com/file/d/1aTxCi3vofRf_hGRJUuid31TvJXpNyAnA/view?usp=drivesdk,"$1,749.11",14,$124.49,$0.00,$13.00,06/20/2025,,,$797.21,$630.76,46.23,,,,
06/27/2025,$695.88,$578.34,48.25,https://drive.google.com/file/d/1vMpv9-tG9Ftc7dkbGEW37a3jJdf8gv44/view?usp=drivesdk,"$1,218.77",17,$71.69,$0.00,$13.00,06/27/2025,,,,,,,,,
07/04/2025,$718.61,$595.61,45.75,https://drive.google.com/file/d/1KrmE3G-LpT_qaIOrE1RHyyV2jNvuunUn/view?usp=drivesdk,$745.98,13,$57.38,$36.25,$13.75,07/04/2025,,,,,,,,,
07/11/2025,$731.88,$606.27,45.25,https://drive.google.com/file/d/1Ei1nZYMEUw4-u-ERj-ZvrDqeNzF9Oah4/view?usp=drivesdk,$52.00,11,$4.73,$13.00,$15.29,07/11/2025,,,,,,,,,
07/18/2025,$792.15,$651.75,47,https://drive.google.com/file/d/1saO8ANe8mCfh7j48hlOtrYIaXRcwx773/view?usp=drivesdk,$232.00,6,$38.67,$32.25,$15.69,07/18/2025,,,,,,,,,
07/25/2025,$687.97,$572.99,41.75,https://drive.google.com/file/d/18HQeNT7KsZUKKFN_2AG3QPvHBxO9yIV8/view?usp=drivesdk,$190.40,13,$14.65,$47.60,$16.14,07/25/2025,,,,,,,,,
08/01/2025,$975.08,$790.67,49.25,https://drive.google.com/file/d/1-TVW_ZLOzGXl1tJnlDXHiMwHuS-jgh_L/view?usp=drivesdk,$610.49,14,$43.61,$152.62,$18.10,08/01/2025,,,,,,,,,
08/08/2025,$977.70,$792.78,51.5,https://drive.google.com/file/d/1P0N4Xc8osBUELUai5XLzEPNZNTTLrfMM/view?usp=drivesdk,$428.00,11,$38.91,$107.00,$17.08,08/08/2025,,,,,,,,,
08/15/2025,$479.30,$371.21,30,https://drive.google.com/file/d/1kVrYSYsKp9eYnRwRNwUMieQgPuXGSW2g/view?usp=drivesdk,$117.21,5,$23.44,$29.30,$15.98,08/15/2025,,,,,,,,,
08/22/2025,"$1,013.40",$779.05,55,https://drive.google.com/file/d/1pDXu4qFLkZwIpn_f_2Z4mH9py6Nc7Cv4/view?usp=drivesdk,$267.17,14,$19.08,$66.79,$16.21,08/22/2025,,,,,,,,,
08/29/2025,"$1,018.90",$782.48,52.5,https://drive.google.com/file/d/1bjMBnUx4mvqVtO-yPF2TxZtuGq4xirni/view?usp=drivesdk,$492.02,9,$54.67,$123.01,$17.34,08/29/2025,,,,,,,,,
09/05/2025,$977.30,$751.06,50,https://drive.google.com/file/d/1q30jThpDp5B56OtgJUhQPijEzNZeBqEy/view?usp=drivesdk,$553.81,12,$46.15,$138.45,$17.77,09/05/2025,,,,,,,,,
09/12/2025,$831.75,$641.11,45.5,https://drive.google.com/file/d/1IvxovpMI5NYF6ujmdW74szxPtUV1MrtV/view?usp=drivesdk,$87.99,10,$8.80,$22.00,$15.57,09/12/2025,,,,,,,,,
09/19/2025,$603.25,$466.50,38.75,https://drive.google.com/file/d/1yAkUmJNHLkNofYac_uq7AIOOsgNUGjyR/view?usp=drivesdk,$87.99,10,$8.80,$22.00,$15.57,âœ… Done â€” 2025-10-26 09:59 AM,https://docs.google.com/open?id=1664mhQu6HXZ_gpAvW5u2Ajssc3zUJEb7UxLILs5YWc8,,,,,,,,
09/26/2025,$993.83,$763.33,50.25,https://drive.google.com/file/d/1g5GmRobo6Ampie5DCy-AGPV1lJxanZ5D/view?usp=drivesdk,$592.40,15,$39.49,$148.10,$17.95,âœ… Done â€” 2025-10-26 12:43 PM,https://docs.google.com/open?id=16aN-7qjcaSAbIuzXRjttiXzDBoTajFwX9fjjX2wsaHE,,,,,,,,
10/03/2025,$681.55,$526.42,36.75,https://drive.google.com/file/d/1Zm-zQnYdNDyJ3-lCGLjrCh436geW4RVw/view?usp=drivesdk,$521.19,11,$47.38,$130.30,$18.55,âœ… Done â€” 2025-10-22 10:32 PM,https://docs.google.com/open?id=1Qj3RW0barhwXyXeUi9eG6MNSJBxMAWamWrVqw13PhLE,,,,,,,,
10/10/2025,$907.05,$697.63,48.75,https://drive.google.com/file/d/1QRtrxFBCh98E2iLpSuTpjyigCxxLFPXt/view?usp=drivesdk,$404.38,15,$26.96,$101.10,$17.07,âœ… Done â€” 2025-10-22 10:13 PM,https://docs.google.com/open?id=1H7JtP8HhMOZpSeodfc3MqEnHgzQN1pe6vKRa9OkWF5E,,,,,,,,
10/17/2025,$893.12,$687.41,44.25,https://drive.google.com/file/d/1GlSvwXTs2kA1KDY_aQYe6p83KC1R1W3o/view?usp=drivesdk,$753.87,12,$62.82,$188.45,$19.26,âœ… Done â€” 2025-10-22 10:15 PM,https://docs.google.com/open?id=1NCKO0CMFAEnciVWnkyU8bBBIUW1kFW_vWn0w5eJ85lY,,,,,,,,
10/24/2025,$998.70,$767.25,52.25,https://drive.google.com/file/d/1iKPSIEMfn4hMC8hIgNE4oh_BlIO9s11T/view?usp=drivesdk,$440.64,16,$27.54,$110.16,$17.11,âœ… Done â€” 2025-10-27 05:56 PM,https://docs.google.com/open?id=1tLB7LwSOYcUn74sQxZq9kyJ-j_gD0wN9FgyRSrzdOhY,,,,,,,,
10/31/2025,$611.25,$472.94,40.5,https://drive.google.com/file/d/1-IaYvQMAfK8bGMbktdzZ58mgc68l_b7-/view?usp=drivesdk,$0.00,7,$0.00,$0.00,$15.00,âœ… Done â€” 2025-10-31 05:45 AM,https://docs.google.com/open?id=1iLTvhcpUs8bpXXnG00uRuNY_S3NmSHxGX03hA1MwKKI,,,,,,,,
11/07/2025,$670.15,$518.25,42.5,https://drive.google.com/file/d/13UM9bPjEhaH0tXXYTlh0Y75BWp2J7xE_/view?usp=drivesdk,$54.00,7,$7.71,$13.50,$15.32,âœ… Done â€” 2025-11-07 07:02 AM,https://docs.google.com/open?id=1NSh3DWARbSFTWOsIlcaep2aw3M060kWDM97Z4i6EYHE,,,,,,,,
11/14/2025,$856.87,$659.29,48.25,https://drive.google.com/file/d/1Fz4N7wA0SntamnL2ildaFxudA0M1uRKQ/view?usp=drivesdk,$262.53,12,$21.88,$65.63,$16.36,âœ… Done â€” 2025-11-14 06:07 AM,https://docs.google.com/open?id=1vBIQMAFcEDs_KE_dtrUD6MxycGHHzfsJILyp0Es0Ytk,,,,,,,,
11/21/2025,$772.63,$595.62,44.25,https://drive.google.com/file/d/1VA2AkNOLxyemHnhx0KgoiZvKGiBZ7Jzy/view?usp=drivesdk,$293.90,14,$20.99,$73.48,$16.66,âœ… Done â€” 2025-11-21 06:03 AM,https://docs.google.com/open?id=1GubHQ9zARXSS5yplCLyCmy4iVOGW9NpMmmZ9SBdbrT8,,,,,,,,
11/28/2025,$997.15,$765.99,52.25,https://drive.google.com/file/d/16fY4eN6pWooIi1VKRmPlOIGheU4Th8Ck/view?usp=drivesdk,$435.09,17,$25.59,$108.77,$17.08,âœ… Done â€” 2025-11-29 05:33 AM,https://docs.google.com/open?id=1Y6q-0txchFbbrFA1rVmsmgC8cr_31p3a0Ab3dylR8RQ,,,,,Total AddOn Amount,Total Stop Count,Total AddOn Avg,Total Commission Earned
12/05/2025,$812.16,$625.37,44.5,https://drive.google.com/file/d/16zIrJkGbJyWD9CpI9dUX2QYrQUOIRL2O/view?usp=drivesdk,$346.13,14,$24.72,$86.53,$16.94,,,,,,,"$7,790.79",268,$650.25,"$1,921.94"
12/12/2025,$791.95,$610.12,42.5,https://drive.google.com/file/d/1oAPrtaVv3t1CtnjYlmqkV65-lL3jIVdT/view?usp=drivesdk,$567.58,13,$43.66,$141.90,$18.34,,,,,,,Weekly Avg AddOn Amount,Weekly Avg Stop Count,Avg AddOn by Stop,Avg Commission Earned
12/19/2025,,,,,,,,,,,,,,,,$338.73,12,$28.27,$83.56
12/26/2025,,,,,,,,,,,,,,,,,,,