date,take_home,hours,stop_count,addon_amount,AddOn per Stop ,Time per Stop,Add On Score,Weekly Hours Score,Time per Stop Score,Take Home Score,Total Score,Icon,Helper Column,,Metrics,Goals
5/23/2025,$623.04,52,,,,,0,67,0,69,34,❌ Critical,5/23/2025,,Add on per Stop,33.5
5/30/2025,$645.54,53.5,,,,,0,54,0,72,32,❌ Critical,5/30/2025,,Weekly Hours,44
6/6/2025,$548.70,47,13,$716.94,55.14923077,216.9230769,100,92,72,61,81,✅ Excellent,6/6/2025,,Time per Stop Min.,180
6/13/2025,$439.30,36.5,11,"$1,474.03",134.0027273,199.0909091,100,4,98,49,63,⚠️ Needs Attention,6/13/2025,,Take Home Pay,1000
6/20/2025,$596.63,50.25,14,"$1,749.11",124.9364286,215.3571429,100,81,74,66,80,✅ Excellent,6/20/2025,,,
6/27/2025,$578.34,48.25,17,"$1,218.77",71.69235294,170.2941176,100,98,50,64,78,⚠️ Needs Attention,6/27/2025,,,
7/4/2025,$595.61,45.75,13,$745.98,57.38307692,211.1538462,100,81,81,66,82,✅ Excellent,7/4/2025,,,
7/11/2025,$606.27,45.25,11,$52.00,4.727272727,246.8181818,14,77,22,67,45,❌ Critical,7/11/2025,,,
7/18/2025,$651.75,47,6,$232.00,38.66666667,470,100,92,0,72,66,⚠️ Needs Attention,7/18/2025,,,
7/25/2025,$572.99,41.75,13,$190.40,14.64615385,192.6923077,44,48,88,64,61,⚠️ Needs Attention,7/25/2025,,,
8/1/2025,$790.67,49.25,14,$610.49,43.60642857,211.0714286,100,90,82,88,90,✅ Excellent,8/1/2025,,,
8/8/2025,$792.78,51.5,11,$428.00,38.90909091,280.9090909,100,71,0,88,65,⚠️ Needs Attention,8/8/2025,,,
8/15/2025,$371.21,30,5,$117.21,23.442,360,70,0,0,41,28,❌ Critical,8/15/2025,,,
8/22/2025,$779.05,55,14,$267.17,19.08357143,235.7142857,57,42,40,87,57,❌ Critical,8/22/2025,,,
8/29/2025,$782.48,52.5,9,$492.02,54.66888889,350,100,63,0,87,63,⚠️ Needs Attention,8/29/2025,,,
9/5/2025,$751.06,50,12,$553.81,46.15083333,250,100,83,17,83,71,⚠️ Needs Attention,9/5/2025,,,
9/12/2025,$641.11,45.5,10,$87.99,8.799,273,26,79,0,71,44,❌ Critical,9/12/2025,,,
9/19/2025,$466.50,38.75,10,$87.99,8.799,232.5,26,23,46,52,37,❌ Critical,9/19/2025,,,
9/26/2025,$763.33,50.25,15,$592.40,39.49333333,201,100,81,98,85,91,✅ Excellent,9/26/2025,,,
10/3/2025,$526.42,36.75,11,$521.19,47.38090909,200.4545455,100,6,99,58,66,⚠️ Needs Attention,10/3/2025,,,
10/10/2025,$697.63,48.75,15,$404.38,26.95866667,195,80,94,92,78,86,✅ Excellent,10/10/2025,,,
10/17/2025,$687.41,44.25,12,$753.87,62.8225,221.25,100,69,65,76,78,⚠️ Needs Attention,10/17/2025,,,
10/24/2025,$767.25,52.25,16,$440.64,27.54,195.9375,82,65,93,85,81,✅ Excellent,10/24/2025,,,
10/31/2025,$472.94,40.5,7,$0.00,0,347.1428571,0,38,0,53,23,❌ Critical,10/31/2025,,,
11/7/2025,$518.25,42.5,7,$54.00,7.714285714,364.2857143,23,54,0,58,34,❌ Critical,11/7/2025,,,
11/14/2025,$659.29,48.25,12,$262.53,21.8775,241.25,65,98,31,73,67,⚠️ Needs Attention,11/14/2025,,,
11/21/2025,$595.62,44.25,14,$293.90,20.99285714,189.6428571,63,69,83,66,70,⚠️ Needs Attention,11/21/2025,,,
11/28/2025,$765.99,52.25,17,$435.09,25.59352941,184.4117647,76,65,74,85,75,⚠️ Needs Attention,11/28/2025,,,
12/5/2025,$625.37,44.5,14,$346.13,24.72357143,190.7142857,74,71,85,69,75,⚠️ Needs Attention,12/5/2025,,,
12/12/2025,$610.12,42.5,13,$567.58,43.66,196.1538462,100,54,94,68,79,⚠️ Needs Attention,12/12/2025,,,
12/19/2025,,,,,,,0,0,0,0,0,❌ Critical,12/19/2025,,,
12/26/2025,,,,,,,0,0,0,0,0,❌ Critical,12/26/2025,,,